"Config","Group","Name","Tags","Stars","Stackable","Description","Autospawn Type","Sprite Food Role","Icon","Notes"
"Weapon/Handgun/WizardWand/Wanderer's Wand, Cool","Handgun","Cool Wanderer's Wand","",5,false,"Wonderful for waving.","--","--","ui/icon/inventory/weapon/handgun/wizard_wand.png",""
"Weapon/Handgun/WizardWand/Wanderer's Wand, Divine","Handgun","Divine Wanderer's Wand","",5,false,"Wonderful for waving.","--","--","ui/icon/inventory/weapon/handgun/wizard_wand.png",""
"Weapon/Handgun/WizardWand/Wanderer's Wand, Dusky","Handgun","Dusky Wanderer's Wand","",5,false,"Wonderful for waving.","--","--","ui/icon/inventory/weapon/handgun/wizard_wand.png",""
"Weapon/Handgun/WizardWand/Wanderer's Wand, Fancy","Handgun","Fancy Wanderer's Wand","",5,false,"Wonderful for waving.","--","--","ui/icon/inventory/weapon/handgun/wizard_wand.png",""
"Weapon/Handgun/WizardWand/Wanderer's Wand, Heavy","Handgun","Heavy Wanderer's Wand","",5,false,"Wonderful for waving.","--","--","ui/icon/inventory/weapon/handgun/wizard_wand.png",""
"Weapon/Handgun/WizardWand/Wanderer's Wand, Military","Handgun","Military Wanderer's Wand","",5,false,"Wonderful for waving.","--","--","ui/icon/inventory/weapon/handgun/wizard_wand.png",""
"Weapon/Handgun/WizardWand/Wanderer's Wand, Prismatic","Handgun","Prismatic Wanderer's Wand","",5,false,"Wonderful for waving.","--","--","ui/icon/inventory/weapon/handgun/wizard_wand.png",""
"Weapon/Handgun/WizardWand/Wanderer's Wand, Regal","Handgun","Regal Wanderer's Wand","",5,false,"Wonderful for waving.","--","--","ui/icon/inventory/weapon/handgun/wizard_wand.png",""
"Weapon/Handgun/WizardWand/Wanderer's Wand, Shadow","Handgun","Shadow Wanderer's Wand","",5,false,"Wonderful for waving.","--","--","ui/icon/inventory/weapon/handgun/wizard_wand.png",""
"Weapon/Handgun/WizardWand/Wanderer's Wand, Toasty","Handgun","Toasty Wanderer's Wand","",5,false,"Wonderful for waving.","--","--","ui/icon/inventory/weapon/handgun/wizard_wand.png",""
"Weapon/Handgun/WizardWand/Wanderer's Wand, Volcanic","Handgun","Volcanic Wanderer's Wand","",5,false,"Wonderful for waving.","--","--","ui/icon/inventory/weapon/handgun/wizard_wand.png",""
"Weapon/Bomb/Proto Bomb","Bomb","Proto Bomb","",0,false,"A small bomb used by Spiral Knight recruits to learn the art of blowing things up.","--","--","ui/icon/inventory/weapon/bomb/proto_bomb.png",""
"Weapon/Bomb/Cold Snap","Bomb","Cold Snap","sc_freeze",1,false,"A Proto Bomb modified to generate small bursts of frost upon detonation.","GEAR","--","ui/icon/inventory/weapon/bomb/cold_snap.png",""
"Weapon/Bomb/Firecracker","Bomb","Firecracker","sc_fire",1,false,"A Proto Bomb modified to generate small bursts of fire upon detonation.","GEAR","--","ui/icon/inventory/weapon/bomb/firecracker.png",""
"Weapon/Bomb/Static Flash","Bomb","Static Flash","",1,false,"A Proto Bomb modified to generate small bursts of electricity upon detonation.","--","--","ui/icon/inventory/weapon/bomb/static_flash.png",""
"Weapon/Bomb/Blast Bomb","Bomb","Blast Bomb","",2,false,"An all-purpose bomb issued to Spiral Knights who have proven themselves in the field.","--","--","ui/icon/inventory/weapon/bomb/blast_bomb.png",""
"Weapon/Bomb/Crystal Bomb","Bomb","Crystal Bomb","fam_slime",2,false,"A shard bomb formed from a small explosive encased in an alloy of Moonstone and Valestone. Its soothing shade of cerulean has been clinically proven to both calm knights and annihilate the undead.","GEAR","--","ui/icon/inventory/weapon/bomb/crystal_bomb.png",""
"Weapon/Bomb/Dark Matter Bomb","Bomb","Dark Matter Bomb","",2,false,"A shard bomb formed from a small explosive encased in Dark Matter. Since its original discovery, Dark Matter has been put to a variety of uses, from powering Spiral technology, to rearranging Gremlins on a subatomic level.","--","--","ui/icon/inventory/weapon/bomb/dark_matter_bomb.png",""
"Weapon/Bomb/Fiery Vaporizer","Bomb","Fiery Vaporizer","sc_fire",2,false,"An alchemical bomb that creates a cloud of highly combustible mist.","GEAR","--","ui/icon/inventory/weapon/bomb/fiery_vaporizer.png",""
"Weapon/Bomb/Freezing Vaporizer","Bomb","Freezing Vaporizer","sc_freeze",2,false,"An alchemical bomb that produces a cloud of ultra-low temperature mist.","GEAR","--","ui/icon/inventory/weapon/bomb/freezing_vaporizer.png",""
"Weapon/Bomb/Haze Bomb","Bomb","Haze Bomb","vanilla",2,false,"An alchemical bomb that creates a noxious cloud capable of stunning those caught inside.","GEAR","--","ui/icon/inventory/weapon/bomb/haze_bomb.png",""
"Weapon/Bomb/Shard Bomb","Bomb","Shard Bomb","",2,false,"A shard bomb formed from a small explosive encased in depleted Crimsonite. Depleted or not, this sucker can sling some serious shrapnel.","--","--","ui/icon/inventory/weapon/bomb/shard_bomb.png",""
"Weapon/Bomb/Slumber Smogger","Bomb","Slumber Smogger","sleep",2,false,"An alchemical bomb that fogs an area with a sleep agent.","GEAR","--","ui/icon/inventory/weapon/bomb/slumber_smogger.png",""
"Weapon/Bomb/Spine Cone","Bomb","Spine Cone","",2,false,"A ferocious device that is positively bursting with briars.","--","--","ui/icon/inventory/weapon/bomb/spine_cone.png",""
"Weapon/Bomb/Splinter Bomb","Bomb","Splinter Bomb","",2,false,"A shard bomb formed from a small explosive encased in a synthetic mineral. Prone to shattering, the otherwise useless material in this bomb is perfect for giving foes a nasty splinter.","--","--","ui/icon/inventory/weapon/bomb/splinter_bomb.png",""
"Weapon/Bomb/Static Capacitor","Bomb","Static Capacitor","",2,false,"An explosive device of Gremlin origin designed to produce a deadly field of electricity.","--","--","ui/icon/inventory/weapon/bomb/static_capacitor.png",""
"Weapon/Bomb/Toxic Vaporizer","Bomb","Toxic Vaporizer","sc_poison",2,false,"An alchemical bomb that produces a noxious cloud of toxins.","GEAR","--","ui/icon/inventory/weapon/bomb/toxic_vaporizer.png",""
"Weapon/Bomb/Warmaster Bomb 1","Bomb","Dark Reprisal","",2,false,"A potent bomb brimming with dark energy that Warmaster Seerus engineered with the sole purpose of eliminating other gremlins that stood in his way.","--","--","ui/icon/inventory/weapon/bomb/warmaster_bomb_1.png",""
"Weapon/Bomb/Deconstructor","Bomb","Deconstructor","fam_construct",3,false,"A bomb specially designed for dismantling machinery, sentient or otherwise.","GEAR","--","ui/icon/inventory/weapon/bomb/deconstructor.png",""
"Weapon/Bomb/Electron Charge","Bomb","Electron Charge","",3,false,"A small electro-explosive charge with mysterious origins. It is capable of generating a crippling vortex of electricity.","--","--","ui/icon/inventory/weapon/bomb/electron_charge.png",""
"Weapon/Bomb/Fiery Vaporizer Mk II","Bomb","Fiery Vaporizer Mk II","sc_fire",3,false,"A Fiery Vaporizer modified to disperse combustible material over a wider range.","GEAR","--","ui/icon/inventory/weapon/bomb/fiery_vaporizer_mkii.png",""
"Weapon/Bomb/Freezing Vaporizer Mk II","Bomb","Freezing Vaporizer Mk II","sc_freeze",3,false,"A Freezing Vaporizer modified to disperse ultra low-temperature chemicals over a wider range.","GEAR","--","ui/icon/inventory/weapon/bomb/freezing_vaporizer_mkii.png",""
"Weapon/Bomb/Graviton Charge","Bomb","Graviton Charge","",3,false,"A small explosive charge with mysterious origins. It is capable of generating a vortex of crushing gravity.","--","--","ui/icon/inventory/weapon/bomb/graviton_charge.png",""
"Weapon/Bomb/Haze Bomb Mk II","Bomb","Haze Bomb Mk II","",3,false,"A Haze Bomb modified to disperse noxious chemicals over a wider range.","--","--","ui/icon/inventory/weapon/bomb/haze_bomb_mkii.png",""
"Weapon/Bomb/Lightning Capacitor","Bomb","Lightning Capacitor","",3,false,"An upgraded Capacitor that can explode with the fury of an electrical storm.","--","--","ui/icon/inventory/weapon/bomb/lightning_capacitor.png",""
"Weapon/Bomb/Rock Salt Bomb","Bomb","Rock Salt Bomb","fam_slime",3,false,"A shard bomb formed from a small explosive encased in rock salt. Not recommended for use in the kitchen.","GEAR","--","ui/icon/inventory/weapon/bomb/rock_salt_bomb.png",""
"Weapon/Bomb/Slumber Smogger Mk II","Bomb","Slumber Smogger Mk II","sleep",3,false,"A Slumber Smogger modified to disperse sleepy smog over a wider range.","GEAR","--","ui/icon/inventory/weapon/bomb/slumber_smogger_mkii.png",""
"Weapon/Bomb/Sun Shards","Bomb","Sun Shards","fam_fiend",3,false,"A shard bomb formed from a small explosive encased in solar-charged Luminite. Whatever you do, don't look directly at it.","GEAR","--","ui/icon/inventory/weapon/bomb/sun_shards.png",""
"Weapon/Bomb/Super Blast Bomb","Bomb","Super Blast Bomb","",3,false,"An upgraded Blast Bomb that combines an unstable heat source with untested explosive material to make one seriously unsafe package.","--","--","ui/icon/inventory/weapon/bomb/super_blast_bomb.png",""
"Weapon/Bomb/Super Crystal Bomb","Bomb","Super Crystal Bomb","",3,false,"A shard bomb stuffed with even more alloy. Apply directly to your foe's head.","--","--","ui/icon/inventory/weapon/bomb/super_crystal_bomb.png",""
"Weapon/Bomb/Super Dark Matter Bomb","Bomb","Super Dark Matter Bomb","",3,false,"A shard bomb stuffed with even more Dark Matter. How much Dark Matter is too much? This much.","--","--","ui/icon/inventory/weapon/bomb/super_dark_matter_bomb.png",""
"Weapon/Bomb/Super Shard Bomb","Bomb","Super Shard Bomb","",3,false,"A shard bomb stuffed with even more depleted Crimsonite. The choicest cure for a combative creature is clearly a crystal to the cranium.","--","--","ui/icon/inventory/weapon/bomb/super_shard_bomb.png",""
"Weapon/Bomb/Super Splinter Bomb","Bomb","Super Splinter Bomb","",3,false,"A shard bomb stuffed with even more synthetic mineral. It can also be used to mince vegetables, if you don't mind picking the occasional crystal out of your teeth.","--","--","ui/icon/inventory/weapon/bomb/super_splinter_bomb.png",""
"Weapon/Bomb/Toxic Vaporizer Mk II","Bomb","Toxic Vaporizer Mk II","sc_poison",3,false,"A Toxic Vaporizer modified to disperse noxious agents over a wider range.","GEAR","--","ui/icon/inventory/weapon/bomb/toxic_vaporizer_mkii.png",""
"Weapon/Bomb/Twisted Spine Cone","Bomb","Twisted Spine Cone","",3,false,"An enhanced Spine Cone that will thrash opponents with thorns and bury them in brambles.","--","--","ui/icon/inventory/weapon/bomb/twisted_spine_cone.png",""
"Weapon/Bomb/Warmaster Bomb 2","Bomb","Dark Reprisal Mk II","",3,false,"A refined version of the shadowy bomb that Warmaster Seerus engineered with the sole purpose of eliminating other gremlins that stood in his way.","--","--","ui/icon/inventory/weapon/bomb/warmaster_bomb_2.png",""
"Weapon/Bomb/Electron Bomb","Bomb","Electron Bomb","",4,false,"Adapted from several unconventional Gremlin theories on physics, anyone unlucky enough to be dragged into this bomb's blast is in for a shock.","--","--","ui/icon/inventory/weapon/bomb/electron_bomb.png",""
"Weapon/Bomb/Fiery Atomizer","Bomb","Fiery Atomizer","sc_fire",4,false,"A powerful alchemical bomb that creates a dense cloud of highly combustible, searing dust.","GEAR","--","ui/icon/inventory/weapon/bomb/fiery_atomizer.png",""
"Weapon/Bomb/Freezing Atomizer","Bomb","Freezing Atomizer","sc_freeze",4,false,"A powerful alchemical bomb that produces a dense cloud of extremely frigid mist.","GEAR","--","ui/icon/inventory/weapon/bomb/freezing_atomizer.png",""
"Weapon/Bomb/Graviton Bomb","Bomb","Graviton Bomb","fam_undead",4,false,"Capable of dragging enemies toward its location before exploding, this bomb utilizes technology that the Spiral Order does not fully understand.","GEAR","--","ui/icon/inventory/weapon/bomb/graviton_bomb.png",""
"Weapon/Bomb/Haze Burst","Bomb","Haze Burst","",4,false,"A powerful alchemical bomb that produces a dense cloud of intensely disorienting material.","--","--","ui/icon/inventory/weapon/bomb/haze_burst.png",""
"Weapon/Bomb/Heavy Crystal Bomb","Bomb","Heavy Crystal Bomb","",4,false,"A solid chunk of alloy with an explosive surprise inside. Zombies hate surprises.","--","--","ui/icon/inventory/weapon/bomb/heavy_crystal_bomb.png",""
"Weapon/Bomb/Heavy Dark Matter Bomb","Bomb","Heavy Dark Matter Bomb","",4,false,"A solid chunk of Dark Matter with an explosive surprise inside. Gremlins hate surprises.","--","--","ui/icon/inventory/weapon/bomb/heavy_dark_matter_bomb.png",""
"Weapon/Bomb/Heavy Deconstructor","Bomb","Heavy Deconstructor","fam_construct",4,false,"An upgraded Deconstructor that will wreck robots and crush constructs in a wider area.","GEAR","--","ui/icon/inventory/weapon/bomb/heavy_deconstructor.png",""
"Weapon/Bomb/Heavy Shard Bomb","Bomb","Heavy Shard Bomb","",4,false,"A solid chunk of depleted Crimsonite with an explosive surprise inside. Everybody loves surprises!","--","--","ui/icon/inventory/weapon/bomb/heavy_shard_bomb.png",""
"Weapon/Bomb/Heavy Splinter Bomb","Bomb","Heavy Splinter Bomb","",4,false,"A solid chunk of synthetic mineral with an explosive surprise inside. Wolvers hate surprises.","--","--","ui/icon/inventory/weapon/bomb/heavy_splinter_bomb.png",""
"Weapon/Bomb/Ionized Salt Bomb","Bomb","Ionized Salt Bomb","fam_slime sc_shock",4,false,"A solid chunk of rock salt with an explosive surprise inside. Jellies hate surprises.","GEAR","--","ui/icon/inventory/weapon/bomb/ionized_salt_bomb.png",""
"Weapon/Bomb/Irontech Bomb","Bomb","Irontech Bomb","fam_construct sc_shock",4,false,"A heavy bomb wrapped in thick iron plates. Though it is slower than most bombs, it packs a powerful punch.","GEAR","--","ui/icon/inventory/weapon/bomb/irontech_bomb.png",""
"Weapon/Bomb/Master Blast Bomb","Bomb","Master Blast Bomb","",4,false,"An incredibly powerful explosive typically used in mining, now issued somewhat recklessly for use in combat.","--","--","ui/icon/inventory/weapon/bomb/master_blast_bomb.png",""
"Weapon/Bomb/Plasma Capacitor","Bomb","Plasma Capacitor","",4,false,"The addition of an advanced Spiral power source gives this bomb a shockingly large blast radius.","--","--","ui/icon/inventory/weapon/bomb/plasma_capacitor.png",""
"Weapon/Bomb/Radiant Sun Shards","Bomb","Radiant Sun Shards","fam_fiend",4,false,"A solid chunk of solar-charged Luminite with an explosive surprise inside. Devilites hate surprises.","GEAR","--","ui/icon/inventory/weapon/bomb/radiant_sun_shards.png",""
"Weapon/Bomb/Slumber Squall","Bomb","Slumber Squall","sleep",4,false,"A powerful alchemical bomb that creates a thick fog of sleepy mist.","GEAR","--","ui/icon/inventory/weapon/bomb/slumber_squall.png",""
"Weapon/Bomb/Spike Shower","Bomb","Spike Shower","",4,false,"A powerful device designed to shred opponents with a snarl.","--","--","ui/icon/inventory/weapon/bomb/spike_shower.png",""
"Weapon/Bomb/Toxic Atomizer","Bomb","Toxic Atomizer","sc_poison",4,false,"A powerful alchemical bomb that produces a choking poisonous cloud.","GEAR","--","ui/icon/inventory/weapon/bomb/toxic_atomizer.png",""
"Weapon/Bomb/Ash of Agni","Bomb","Ash of Agni","sc_fire",5,false,"When this bomb has left the battlefield in ashes, then, and only then, will your enemies have permission to die.","GEAR","--","ui/icon/inventory/weapon/bomb/ash_agni.png",""
"Weapon/Bomb/Big Angry Bomb","Bomb","Big Angry Bomb","fam_gremlin",5,false,"An immensely powerful bomb with a terrible attitude.","GEAR","--","ui/icon/inventory/weapon/bomb/big_angry_bomb.png",""
"Weapon/Bomb/Celestial Vortex","Bomb","Celestial Vortex","",5,false,"A Celestial Bomb modified with a payload of a dying sun. Foes caught in its fiery blast radius are shown a glimpse of the dawn of creation.","GEAR","--","ui/icon/inventory/weapon/bomb/celestial_vortex.png",""
"Weapon/Bomb/Dark Briar Barrage","Bomb","Dark Briar Barrage","",5,false,"A mythical object that can explode with the fury of the Snarbolax itself. The unearthly howl it produces is said to be more crippling than its blast.","--","--","ui/icon/inventory/weapon/bomb/dark_briar_barrage.png",""
"Weapon/Bomb/Deadly Charcoaler","Bomb","Deadly Charcoaler","",5,false,"This gallant grill is guaranteed to char your competition.","--","--","ui/icon/inventory/weapon/bomb/grill.png",""
"Weapon/Bomb/Deadly Charcoaler, Tech Pink","Bomb","Tech Pink Deadly Charcoaler","",5,false,"This gallant grill is guaranteed to char your competition.","--","--","ui/icon/inventory/weapon/bomb/grill_wtp.png",""
"Weapon/Bomb/Deadly Charcoaler, Tech Yellow","Bomb","Tech Yellow Deadly Charcoaler","",5,false,"This gallant grill is guaranteed to char your competition.","--","--","ui/icon/inventory/weapon/bomb/grill_wty.png",""
"Weapon/Bomb/Deadly Crystal Bomb","Bomb","Deadly Crystal Bomb","",5,false,"A large chunk of Moonstone and Valestone alloy primed with a potent explosive. Studies have shown that this bomb can be used to reduce a zombie's craving for brains by up to 100% by blowing them to pieces.","--","--","ui/icon/inventory/weapon/bomb/deadly_crystal_bomb.png",""
"Weapon/Bomb/Deadly Dark Matter Bomb","Bomb","Deadly Dark Matter Bomb","",5,false,"A large chunk of Dark Matter primed with a potent explosive. This bomb would be in stark violation of the Spiral Order's safety handbook if they hadn't lost the last copy in the crash.","--","--","ui/icon/inventory/weapon/bomb/deadly_dark_matter_bomb.png",""
"Weapon/Bomb/Deadly Shard Bomb","Bomb","Deadly Shard Bomb","",5,false,"A large chunk of Crimsonite primed with a potent explosive. No more depleted Crimsonite here: this bomb's made with the good stuff! Or the bad stuff, if you happen to be the target.","--","--","ui/icon/inventory/weapon/bomb/deadly_shard_bomb.png",""
"Weapon/Bomb/Deadly Splinter Bomb","Bomb","Deadly Splinter Bomb","",5,false,"A large chunk of synthetic mineral primed with a potent explosive. Fact: the easiest way to find the splinter in the haystack is to blow up the haystack.","--","--","ui/icon/inventory/weapon/bomb/deadly_splinter_bomb.png",""
"Weapon/Bomb/Electron Vortex","Bomb","Electron Vortex","",5,false,"An Electron Bomb modified with a payload of unstable organic essence. Foes caught in its punishing blast radius are cruelly referred to as ""thunderstuck"".","--","--","ui/icon/inventory/weapon/bomb/electron_vortex.png",""
"Weapon/Bomb/Graviton Vortex","Bomb","Graviton Vortex","fam_undead",5,false,"A Graviton Bomb fortified with potentially dangerous amounts of shadow steel. Its blast should draw your foes toward it... if it doesn't rip the entire universe in two, that is.","GEAR","--","ui/icon/inventory/weapon/bomb/graviton_vortex.png",""
"Weapon/Bomb/Humbug Hazer","Bomb","Humbug Hazer","sc_poison",5,false,"This cantankerous contraption is guaranteed to make anyone but the most curmudgeonly humbug sick to their stomach.","--","--","ui/icon/inventory/weapon/bomb/humbug_hazer.png",""
"Weapon/Bomb/Irontech Destroyer","Bomb","Irontech Destroyer","fam_construct sc_shock",5,false,"The big brother of the Irontech Bomb, the Destroyer unleashes the full potential of irontech power.","GEAR","--","ui/icon/inventory/weapon/bomb/irontech_destroyer.png",""
"Weapon/Bomb/Jack Froster","Bomb","Jack Froster","sc_freeze",5,false,"Usher in a winter wonderland with this nose-nipping, nasty surprise that is perfect for giving your foes a bad case of frostbite.","--","--","ui/icon/inventory/weapon/bomb/jack_froster.png",""
"Weapon/Bomb/Nitronome","Bomb","Nitronome","",5,false,"An advanced explosive issued to only the most elite Spiral Knight grenadiers. It's made from a synthetic substance that ticks ominously even when unarmed.","--","--","ui/icon/inventory/weapon/bomb/nitronome.png",""
"Weapon/Bomb/Obsidian Crusher","Bomb","Obsidian Crusher","",5,false,"A peculiar bomb made from the obsidian obelisks found within the realm of the Apocrea. Despite it being a bomb, some are drawn to holding it and 'solving' it as if it were some kind of puzzle.","--","--","ui/icon/inventory/weapon/bomb/obsidian_crusher.png",""
"Weapon/Bomb/Parts/Base (Deadly Charcoaler)","Bomb","Deadly Charcoaler","",5,false,"This gallant grill is guaranteed to char your competition.","--","--","ui/icon/inventory/weapon/bomb/grill.png",""
"Weapon/Bomb/Piggy Banker/Piggy Banker","Bomb","Piggy Banker","sc_fire",5,false,"A small volatile bank that is sure to burn a hole in your enemies' pockets.","GEAR","--","ui/icon/inventory/weapon/bomb/recolor_piggy_banker.png",""
"Weapon/Bomb/Pot O' Crowns","Bomb","Pot O' Crowns","",5,false,"An unlucky thing for your foes to find, it explodes in a painful blow.","--","--","ui/icon/inventory/weapon/bomb/potocrowns.png",""
"Weapon/Bomb/Powder Keg","Bomb","Powder Keg","fam_gremlin",5,false,"Careful, this thing could go off like a metaphorical powder keg.","--","--","ui/icon/inventory/weapon/bomb/powderkeg.png",""
"Weapon/Bomb/Punkin Cinnamug","Bomb","Punkin Cinnamug","sc_fire",5,false,"A frothy blend of punkins and cinnamon that is sure to burn those that don't wait for this mug to cool.","--","--","ui/icon/inventory/weapon/bomb/scalding_hot_punkin.png",""
"Weapon/Bomb/Scalding Hot Cocoa","Bomb","Scalding Hot Cocoa","sc_fire",5,false,"A singeing splash of sweet destruction awaits any foe that goes for this mug before it's had a chance to cool.","--","--","ui/icon/inventory/weapon/bomb/scalding_hot_cocoa.png",""
"Weapon/Bomb/Scintillating Sun Shards","Bomb","Scintillating Sun Shards","",5,false,"A large chunk of solar-charged Luminite primed with a potent explosive. The pyrotechnic show upon detonation is positively stunning.","--","--","ui/icon/inventory/weapon/bomb/scintillating_sun_shards.png",""
"Weapon/Bomb/Shivermist Buster","Bomb","Shivermist Buster","sc_freeze",5,false,"Originally used to flash freeze perishable supplies, the Shivermist Buster is far more satisfying when used to flash freeze monsters in their tracks.","GEAR","--","ui/icon/inventory/weapon/bomb/shivermist_buster.png",""
"Weapon/Bomb/Shocking Salt Bomb","Bomb","Shocking Salt Bomb","",5,false,"A large chunk of rock salt primed with a potent explosive. For nutritional purposes, this particular chunk of salt has been enriched with dangerous amounts of electricity. Wait, what?","--","--","ui/icon/inventory/weapon/bomb/shocking_salt_bomb.png",""
"Weapon/Bomb/Sloppy Shard Bomb","Bomb","Sloppy Shard Bomb","",5,false,"An unreliable, but powerful Gremlin explosive.","--","--","ui/icon/inventory/weapon/bomb/deadly_shard_bomb.png",""
"Weapon/Bomb/Stagger Storm","Bomb","Stagger Storm","",5,false,"Though it was originally developed by the Spiral Order to harmlessly subdue dangerous species, how you deal with foes unfortunate enough to be caught in the storm is entirely up to you.","--","--","ui/icon/inventory/weapon/bomb/stagger_storm.png",""
"Weapon/Bomb/Torpor Tantrum","Bomb","Torpor Tantrum","sleep",5,false,"The ultimate sleep bomb. It's like a bedtime story, only more explodey.","GEAR","--","ui/icon/inventory/weapon/bomb/torpor_tantrum.png",""
"Weapon/Bomb/Venom Veiler","Bomb","Venom Veiler","sc_poison",5,false,"The ultimate in toxic dispersal devices, the Venom Veiler can be used to destroy pests on crops. Failing that, it can also be used to destroy crops.","GEAR","--","ui/icon/inventory/weapon/bomb/venom_veiler.png",""
"Weapon/Bomb/Virulent Seedling","Bomb","Virulent Seedling","sc_poison",5,false,"This small, dangerous plant has been weaponized by biotechs so that it spreads a cloud of toxic spores on detonation. Don't let the size fool you, it packs several kiloaudreys of power.","--","--","ui/icon/inventory/weapon/bomb/virulent_seedling.png",""
"Weapon/Bomb/Voltaic Tempest","Bomb","Voltaic Tempest","",5,false,"This high-tech, high voltage device is not recommended for use in water, around water, or near people thinking about water. To be safe, you probably shouldn't look at it, either.","--","--","ui/icon/inventory/weapon/bomb/voltaic_tempest.png",""
"Weapon/Bomb/Warmaster Bomb 3","Bomb","Dark Retribution","",5,false,"The perfected version of the shadowy bomb that Warmaster Seerus engineered with the sole purpose of eliminating other gremlins that stood in his way.  It is thought to have been reserved for use against other members of the Crimson Order.","--","--","ui/icon/inventory/weapon/bomb/warmaster_bomb_3.png",""
"Costume/Game Master/GM Helmet, Bucket","Helmet","GM Helmet, Bucket","",0,false,"An impressive indigo helmet that's the indisputable indication of one of the Spiral Order's incredible Game Masters.","--","--","ui/icon/inventory/costume/helm/gm.png",""
"Costume/Game Master/GM Helmet, Nose","Helmet","GM Helmet, Nose","",0,false,"An impressive indigo helmet that's the indisputable indication of one of the Spiral Order's incredible Game Masters.","--","--","ui/icon/inventory/costume/helm/gm.png",""
"Costume/Game Master/GM Helmet, Nose (Open)","Helmet","GM Helmet, Nose (Open)","",0,false,"An impressive indigo helmet that's the indisputable indication of one of the Spiral Order's incredible Game Masters.","--","--","ui/icon/inventory/costume/helm/gm.png",""
"Costume/Game Master/GM Helmet, Pith","Helmet","GM Helmet, Pith","",0,false,"An impressive indigo helmet that's the indisputable indication of one of the Spiral Order's incredible Game Masters.","--","--","ui/icon/inventory/costume/helm/gm.png",""
"Costume/Game Master/GM Helmet, Ploomed","Helmet","GM Helmet, Plumed","",0,false,"An impressive indigo helmet that's the indisputable indication of one of the Spiral Order's incredible Game Masters.","--","--","ui/icon/inventory/costume/helm/gm.png",""
"Costume/Game Master/GM Helmet, Winged","Helmet","GM Helmet, Winged","",0,false,"An impressive indigo helmet that's the indisputable indication of one of the Spiral Order's incredible Game Masters.","--","--","ui/icon/inventory/costume/helm/gm.png",""
"Gear/Helm/Cyclops Cap","Helmet","Cyclops Cap","",0,false,"A strange helm with a single, focused eye favored by junior gunners.","--","--","ui/icon/inventory/gear/helm/cyclops_cap.png",""
"Gear/Helm/Groundbreaker Helm","Helmet","Groundbreaker Helm","",0,false,"A sturdy helm worn by knights who were among the first to brave the depths of the Clockworks.","--","--","ui/icon/inventory/gear/helm/groundbreaker_helm.png",""
"Gear/Helm/Mining Hat","Helmet","Mining Hat","",0,false,"A sturdy, old helmet once used to dig for precious minerals. It offers a little more defense than a Spiral Helm.","--","--","ui/icon/inventory/gear/helm/mining_hat.png",""
"Gear/Helm/Spiral Crescent Helm (Blue)","Helmet","Spiral Crescent Helm","",0,false,"A light helmet issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/gear/helm/recolor_nose.png",""
"Gear/Helm/Spiral Crescent Helm (Gold)","Helmet","Spiral Crescent Helm","",0,false,"A light helmet issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/gear/helm/recolor_nose.png",""
"Gear/Helm/Spiral Crescent Helm (Green)","Helmet","Spiral Crescent Helm","",0,false,"A light helmet issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/gear/helm/recolor_nose.png",""
"Gear/Helm/Spiral Crescent Helm (Heavy)","Helmet","Spiral Crescent Helm","",0,false,"A light helmet issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/gear/helm/recolor_nose.png",""
"Gear/Helm/Spiral Crescent Helm (Pink)","Helmet","Spiral Crescent Helm","",0,false,"A light helmet issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/gear/helm/recolor_nose.png",""
"Gear/Helm/Spiral Crescent Helm (Purple)","Helmet","Spiral Crescent Helm","",0,false,"A light helmet issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/gear/helm/recolor_nose.png",""
"Gear/Helm/Spiral Crescent Helm (Red)","Helmet","Spiral Crescent Helm","",0,false,"A light helmet issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/gear/helm/recolor_nose.png",""
"Gear/Helm/Spiral Hood (Blue)","Helmet","Spiral Hood","",0,false,"A light helmet issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/gear/helm/recolor_hood-proto.png",""
"Gear/Helm/Spiral Hood (Gold)","Helmet","Spiral Hood","",0,false,"A light helmet issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/gear/helm/recolor_hood-proto.png",""
"Gear/Helm/Spiral Hood (Green)","Helmet","Spiral Hood","",0,false,"A light helmet issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/gear/helm/recolor_hood-proto.png",""
"Gear/Helm/Spiral Hood (Heavy)","Helmet","Spiral Hood","",0,false,"A light helmet issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/gear/helm/recolor_hood-proto.png",""
"Gear/Helm/Spiral Hood (Pink)","Helmet","Spiral Hood","",0,false,"A light helmet issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/gear/helm/recolor_hood-proto.png",""
"Gear/Helm/Spiral Hood (Purple)","Helmet","Spiral Hood","",0,false,"A light helmet issued to all Spiral Knight recruits.","--","--","ui/icon/inventory/gear/helm/recolor_hood-proto.png",""
